,FIPS 1970,SMSA 1970,STATE 1970,COUNTY 1970,FIPS 1980,SMSA 1980,COUNTY 1980,STATE 1980,MSA NAME 1980,FIPS 1990,MSA 1990,COUNTY 1990,STATE 1990,MSA NAME 1990,FIPS 2000,MSA Code 2000,County 2000,MSA Name 2000,FIPS 2010,CBSA 2010,County 2010,CBSA Name 2010,CBSA State 2010,Metro/Micro 2010,1970 Pop,1980 Pop,1990 Pop,2000 Pop,2010 Pop,1970 Emp,1980 Emp,1990 Emp,2000 Emp,2010 Emp
194,13111,NA,Georgia,Fannin,13111,NA,Fannin,Georgia,NA,13111,9999,Fannin,Georgia,NA,13111,9999,Fannin GA,,13111, ,Fannin GA, , ,,13432,14768,16061,19954,23687,2926,3815,5180,8571,9522
195,13113,NA,Georgia,Fayette,13113,520,Fayette,Georgia,ATLANTA GA.,13113,520,Fayette,Georgia,Atlanta GA MSA,13113,520,Fayette GA,Atlanta,13113,12060,Fayette GA,Atlanta-Sandy Springs-Roswell, GA,Metro,11517,29538,63212,92073,106993,3001,7859,22365,47979,54971
196,13115,NA,Georgia,Floyd,13115,NA,Floyd,Georgia,NA,13115,9999,Floyd,Georgia,NA,13115,9999,Floyd GA,,13115,40660,Floyd GA,Rome, GA,Metro,74051,79860,81483,90837,96415,34937,39476,44628,50342,49414
197,13117,NA,Georgia,Forsyth,13117,520,Forsyth,Georgia,ATLANTA GA.,13117,520,Forsyth,Georgia,Atlanta GA MSA,13117,520,Forsyth GA,Atlanta,13117,12060,Forsyth GA,Atlanta-Sandy Springs-Roswell, GA,Metro,17312,28134,44737,100400,176760,4826,7801,17963,43330,78310
198,13119,NA,Georgia,Franklin,13119,NA,Franklin,Georgia,NA,13119,9999,Franklin,Georgia,NA,13119,9999,Franklin GA,,13119, ,Franklin GA, , ,,12793,15241,16705,20314,22074,5174,6163,8369,11719,10404
199,13121,520,Georgia,Fulton,13121,520,Fulton,Georgia,ATLANTA GA.,13121,520,Fulton,Georgia,Atlanta GA MSA,13121,520,Fulton GA,Atlanta,13121,12060,Fulton GA,Atlanta-Sandy Springs-Roswell, GA,Metro,604851,592790,650697,816190,926038,490431,590829,709585,904096,910866
200,13123,NA,Georgia,Gilmer,13123,NA,Gilmer,Georgia,NA,13123,9999,Gilmer,Georgia,NA,13123,9999,Gilmer GA,,13123, ,Gilmer GA, , ,,9069,11133,13492,23634,28315,3426,4759,7255,10799,11746
201,13125,NA,Georgia,Glascock,13125,NA,Glascock,Georgia,NA,13125,9999,Glascock,Georgia,NA,13125,9999,Glascock GA,,13125, ,Glascock GA, , ,,2285,2386,2356,2574,3069,789,850,882,855,798
202,13127,NA,Georgia,Glynn,13127,NA,Glynn,Georgia,NA,13127,9999,Glynn,Georgia,NA,13127,9999,Glynn GA,,13127,15260,Glynn GA,Brunswick, GA,Metro,50707,55142,62691,67696,79790,24134,30356,37610,45240,46634
203,13129,NA,Georgia,Gordon,13129,NA,Gordon,Georgia,NA,13129,9999,Gordon,Georgia,NA,13129,9999,Gordon GA,,13129,15660,Gordon GA,Calhoun, GA,Micro,23808,30179,35233,44401,55207,10040,13693,21042,26506,25678
204,13131,NA,Georgia,Grady,13131,NA,Grady,Georgia,NA,13131,9999,Grady,Georgia,NA,13131,9999,Grady GA,,13131, ,Grady GA, , ,,17790,19855,20376,23624,25047,6357,7279,8433,9341,8601
205,13133,NA,Georgia,Greene,13133,NA,Greene,Georgia,NA,13133,9999,Greene,Georgia,NA,13133,9999,Greene GA,,13133, ,Greene GA, , ,,10174,11421,11849,14389,16000,3765,4484,5773,7133,7808
206,13135,520,Georgia,Gwinnett,13135,520,Gwinnett,Georgia,ATLANTA GA.,13135,520,Gwinnett,Georgia,Atlanta GA MSA,13135,520,Gwinnett GA,Atlanta,13135,12060,Gwinnett GA,Atlanta-Sandy Springs-Roswell, GA,Metro,73498,169344,356979,595584,808274,17512,58895,181332,350224,438728
207,13137,NA,Georgia,Habersham,13137,NA,Habersham,Georgia,NA,13137,9999,Habersham,Georgia,NA,13137,9999,Habersham GA,,13137,18460,Habersham GA,Cornelia, GA,Micro,20784,25081,27799,36095,43080,8664,11765,15687,18697,18294
208,13139,NA,Georgia,Hall,13139,NA,Hall,Georgia,NA,13139,9999,Hall,Georgia,NA,13139,9999,Hall GA,,13139,23580,Hall GA,Gainesville, GA,Metro,59814,76074,96215,140993,180003,29685,39846,55485,81576,92780
209,13141,NA,Georgia,Hancock,13141,NA,Hancock,Georgia,NA,13141,9999,Hancock,Georgia,NA,13141,9999,Hancock GA,,13141,33300,Hancock GA,Milledgeville, GA,Micro,9059,9472,8930,10066,9420,2224,2025,2288,2341,2186
210,13143,NA,Georgia,Haralson,13143,NA,Haralson,Georgia,NA,13143,9999,Haralson,Georgia,NA,13143,9999,Haralson GA,,13143,12060,Haralson GA,Atlanta-Sandy Springs-Roswell, GA,Metro,16030,18543,22002,25788,28782,7294,8378,8998,9155,10224
211,13145,NA,Georgia,Harris,13145,NA,Harris,Georgia,NA,13145,9999,Harris,Georgia,NA,13145,1800,Harris GA,Columbus,13145,17980,Harris GA,Columbus, GA-AL,Metro,11501,15418,17837,23912,32157,3178,3961,5327,9113,7559
212,13147,NA,Georgia,Hart,13147,NA,Hart,Georgia,NA,13147,9999,Hart,Georgia,NA,13147,9999,Hart GA,,13147, ,Hart GA, , ,,15839,18611,19825,23046,25209,5925,7232,9833,10784,9138
213,13149,NA,Georgia,Heard,13149,NA,Heard,Georgia,NA,13149,9999,Heard,Georgia,NA,13149,9999,Heard GA,,13149,12060,Heard GA,Atlanta-Sandy Springs-Roswell, GA,Metro,5386,6529,8688,11038,11858,1112,1985,2827,3571,3790
214,13151,NA,Georgia,Henry,13151,520,Henry,Georgia,ATLANTA GA.,13151,520,Henry,Georgia,Atlanta GA MSA,13151,520,Henry GA,Atlanta,13151,12060,Henry GA,Atlanta-Sandy Springs-Roswell, GA,Metro,23931,36488,59885,121774,205142,6338,10783,19904,44151,78605
215,13153,4680,Georgia,Houston,13153,4680,Houston,Georgia,MACON GA.,13153,4680,Houston,Georgia,Macon--Warner Robins GA MSA,13153,4680,Houston GA,Macon,13153,47580,Houston GA,Warner Robins, GA,Metro,63472,78161,89695,111294,140746,40744,40821,50227,61096,76714
216,13155,NA,Georgia,Irwin,13155,NA,Irwin,Georgia,NA,13155,9999,Irwin,Georgia,NA,13155,9999,Irwin GA,,13155, ,Irwin GA, , ,,8113,8965,8643,9905,9600,3152,3269,2956,3879,3170
217,13157,NA,Georgia,Jackson,13157,500,Jackson,Georgia,ATHENS GA.,13157,500,Jackson,Georgia,Athens GA MSA,13157,9999,Jackson GA,,13157,27600,Jackson GA,Jefferson, GA,Micro,21226,25459,30195,41845,60749,8222,9324,13009,20184,24329
